||Sütunlar||||||||||||
Satırlar||İbbs-Düzey1 Bölgeler Arası Aldığı Göç Bilgileri||||||||||||
||Göç Alan:Akdeniz|Göç Alan:Batı Anadolu|Göç Alan:Batı Karadeniz|Göç Alan:Batı Marmara|Göç Alan:Doğu Karadeniz|Göç Alan:Doğu Marmara|Göç Alan:Ege|Göç Alan:Güneydoğu Anadolu|Göç Alan:İstanbul|Göç Alan:Kuzeydoğu Anadolu|Göç Alan:Orta Anadolu|Göç Alan:Ortadoğu Anadolu|
||||||||||||||
||||||||||||||
|Kuzeydoğu Anadolu-TRA|6391.0|10253.0|3461.0|5433.0|4657.0|14443.0|12056.0|3711.0|30047.0|0.0|3946.0|4330.0|
|Orta Anadolu-TR7|18164.0|42781.0|7225.0|4009.0|2542.0|9854.0|10965.0|5475.0|30065.0|3617.0|0.0|3980.0|
|Ortadoğu Anadolu-TRB|17342.0|12200.0|3489.0|4990.0|2157.0|12044.0|13566.0|13437.0|35752.0|4442.0|4606.0|0.0|
2011|Akdeniz-TR6|0.0|33551.0|7424.0|6436.0|5171.0|14900.0|29767.0|41349.0|39899.0|6389.0|17832.0|16597.0|
|Batı Anadolu-TR5|28579.0|0.0|18916.0|6665.0|7420.0|18889.0|24193.0|13046.0|28362.0|7282.0|21978.0|8888.0|
|Batı Karadeniz-TR8|8716.0|31868.0|0.0|8242.0|9628.0|19869.0|10768.0|4584.0|65613.0|3979.0|7012.0|4095.0|
|Batı Marmara-TR2|5513.0|7185.0|5053.0|0.0|2429.0|12441.0|14135.0|4453.0|29845.0|3231.0|2651.0|3213.0|
|Doğu Karadeniz-TR9|4556.0|8680.0|10840.0|3535.0|0.0|15140.0|6001.0|2402.0|48270.0|5547.0|2744.0|2505.0|
|Doğu Marmara-TR4|12781.0|19835.0|12280.0|11266.0|9336.0|0.0|20870.0|8576.0|49340.0|7354.0|6040.0|6908.0|
|Ege-TR3|29886.0|26832.0|8920.0|14140.0|5531.0|24545.0|0.0|16836.0|37312.0|8631.0|7955.0|10391.0|
|Güneydoğu Anadolu-TRC|45918.0|16606.0|5020.0|5424.0|2445.0|12195.0|19693.0|0.0|47541.0|4383.0|6750.0|17777.0|
|İstanbul-TR1|25344.0|22170.0|50564.0|34594.0|32384.0|47730.0|26169.0|32200.0|0.0|16774.0|18364.0|22370.0|
|Kuzeydoğu Anadolu-TRA|6702.0|10851.0|3854.0|5269.0|4885.0|14199.0|12142.0|3807.0|29466.0|0.0|4140.0|5030.0|
|Orta Anadolu-TR7|17526.0|38867.0|7473.0|3742.0|2980.0|9521.0|10878.0|6267.0|28796.0|3814.0|0.0|4901.0|
|Ortadoğu Anadolu-TRB|21997.0|18081.0|4473.0|6697.0|3062.0|17981.0|17588.0|18065.0|46001.0|4988.0|5421.0|0.0|
2012|Akdeniz-TR6|0.0|30371.0|7426.0|6160.0|5084.0|15066.0|30933.0|35563.0|34653.0|5792.0|18662.0|17215.0|
|Batı Anadolu-TR5|25232.0|0.0|21896.0|5806.0|7430.0|17163.0|22881.0|11484.0|24359.0|6097.0|24205.0|11245.0|
|Batı Karadeniz-TR8|7822.0|28236.0|0.0|8308.0|11594.0|18722.0|10664.0|3890.0|54547.0|3423.0|7239.0|3371.0|
|Batı Marmara-TR2|4904.0|6646.0|5150.0|0.0|2657.0|11988.0|15280.0|3802.0|25238.0|2607.0|2344.0|3660.0|
|Doğu Karadeniz-TR9|3909.0|7610.0|9538.0|3297.0|0.0|12300.0|5839.0|1982.0|32454.0|4991.0|2368.0|2326.0|
|Doğu Marmara-TR4|11788.0|17376.0|13065.0|12140.0|11864.0|0.0|23700.0|7866.0|42642.0|6247.0|5923.0|10004.0|
|Ege-TR3|28737.0|22202.0|8436.0|14138.0|5037.0|22868.0|0.0|13553.0|30078.0|6965.0|7463.0|11012.0|
|Güneydoğu Anadolu-TRC|47142.0|16044.0|5164.0|5610.0|2877.0|11952.0|21155.0|0.0|47143.0|4585.0|6977.0|19434.0|
|İstanbul-TR1|24130.0|20031.0|57899.0|39042.0|48569.0|51692.0|27680.0|27917.0|0.0|14354.0|17408.0|25352.0|
|Kuzeydoğu Anadolu-TRA|6020.0|10168.0|3593.0|5461.0|4778.0|14773.0|12567.0|3086.0|29082.0|0.0|3635.0|4571.0|
|Orta Anadolu-TR7|15772.0|32986.0|7237.0|3617.0|2615.0|9097.0|10460.0|4625.0|23668.0|3014.0|0.0|4039.0|
|Ortadoğu Anadolu-TRB|20945.0|12322.0|4019.0|5749.0|2604.0|14084.0|14685.0|13972.0|40671.0|5225.0|5044.0|0.0|
